Time,L 5 X,L 5 Y,L 5 Z,L 5 Length,L 5 v(X),L 5 v(Y),L 5 v(Z),L 5 v(abs),L 5 a(X),L 5 a(Y),L 5 a(Z),L 5 a(abs),L 5 #2D
1.241662,0.08883826,0.51371729,0.9523403,0.06782158,0.02880413,0.01490122,0.01041297,0.03406104,-0.27059701,-0.35530964,-0.28954852,-0.45852542,3
1.249995,0.08909294,0.51391262,0.95243287,0.06815562,0.02799619,0.01461869,0.00797454,0.03257431,-0.19933887,-0.35843411,-0.26138872,-0.34725931,3
1.258328,0.08929935,0.51401466,0.95251071,0.06839868,0.02526919,0.00913683,0.00603857,0.02754048,-0.17161871,-0.42689663,-0.21958649,-0.29283208,3
1.266662,0.08947189,0.5140326,0.95253885,0.06857441,0.02293216,0.00258387,0.00441613,0.02349601,-0.18004331,-0.54253179,-0.16184816,-0.26845789,3
1.274995,0.08965453,0.51401234,0.95254493,0.06875827,0.02200053,-0.00195504,0.00306786,0.02229927,-0.16512842,-0.58335888,-0.10379162,-0.16697027,3
1.283328,0.08982879,0.51395124,0.9525581,0.0689434,0.02160163,-0.00508251,0.00238777,0.02231958,-0.09734448,-0.45612457,-0.06869133,-0.03145858,3
1.291662,0.09002934,0.51391476,0.95258749,0.06914935,0.02046489,-0.00963096,0.0025046,0.0227561,-0.00778378,-0.21770178,-0.05790161,0.0298253,3
1.299995,0.09020315,0.51386583,0.95262057,0.06933292,0.01966283,-0.0131691,0.00258089,0.02380574,0.081907,0.04857458,-0.05686804,0.0742335,3
1.308328,0.09036211,0.51374733,0.95263761,0.06953192,0.02073483,-0.01164322,0.00184358,0.02385155,0.16878802,0.33305919,-0.05844043,0.15296595,3
1.316661,0.09047528,0.5135119,0.95265478,0.06979371,0.02357798,-0.00537517,0.00067175,0.02419225,0.22385725,0.57964313,-0.05189819,0.19914298,3
1.324995,0.09066955,0.51341677,0.95265454,0.07001001,0.02676066,0.00254334,0.0000155,0.02688125,0.17659988,0.59549332,-0.01668586,0.13400014,3
1.333328,0.09093834,0.51353937,0.95263994,0.0703058,0.02886419,0.00974897,0.00013232,0.03046639,0.00667575,0.29147983,0.04769483,-0.02595569,3
